date,country,D,H,I,M,S
2021-05-01,Japan,10,1,0,108,2
2021-05-01,Sweden,1,0,0,8,0
2021-05-02,Afghanistan,0,1,0,36,0
2021-05-02,Japan,10,1,0,108,2
2021-05-02,Sweden,1,0,0,8,0
2021-05-03,Afghanistan,0,1,0,36,0
2021-05-03,Japan,10,1,0,108,2
2021-05-03,Sweden,1,0,0,8,0
2021-05-04,Afghanistan,0,1,0,36,0
2021-05-04,Japan,10,1,0,109,1
2021-05-04,Sweden,1,0,0,8,0
2021-05-05,Afghanistan,0,1,0,36,0
2021-05-05,Japan,10,1,0,109,1
2021-05-05,Sweden,1,0,0,8,0
2021-05-06,Afghanistan,0,1,0,36,0
2021-05-06,Japan,10,1,0,109,1
2021-05-06,Sweden,1,0,0,8,0
2021-05-07,Afghanistan,0,1,0,36,0
2021-05-07,Japan,10,1,0,110,0
2021-05-07,Sweden,1,0,0,8,0
2021-05-08,Afghanistan,0,1,0,36,0
2021-05-08,Japan,10,1,0,110,0
2021-05-08,Sweden,1,0,0,8,0
2021-05-09,Afghanistan,0,1,0,36,0
2021-05-09,Japan,10,1,0,110,0
2021-05-09,Sweden,1,0,0,8,0
2021-05-10,Afghanistan,0,1,0,36,0
2021-05-10,Japan,10,0,1,110,0
2021-05-10,Sweden,1,0,0,8,0
2021-05-11,Afghanistan,0,1,0,36,0
2021-05-11,Japan,10,0,1,110,0
2021-05-11,Sweden,1,0,0,8,0
2021-05-12,Afghanistan,0,1,0,36,0
2021-05-12,Japan,10,0,1,110,0
2021-05-12,Sweden,1,0,0,8,0
2021-05-13,Afghanistan,0,1,0,36,0
2021-05-13,Japan,10,0,1,110,0
2021-05-13,Sweden,1,0,0,8,0
2021-05-14,Afghanistan,0,1,0,36,0
2021-05-14,Japan,10,0,0,110,1
2021-05-14,Sweden,1,0,0,8,0
2021-05-15,Afghanistan,0,1,0,36,0
2021-05-15,Japan,10,0,0,110,1
2021-05-15,Sweden,1,0,0,8,0
2021-05-16,Afghanistan,0,1,0,36,0
2021-05-16,Japan,10,0,0,110,1
2021-05-16,Sweden,1,0,0,8,0
2021-05-17,Afghanistan,0,1,0,36,0
2021-05-17,Japan,10,0,0,110,1
2021-05-17,Sweden,1,0,0,8,0
2021-05-18,Afghanistan,0,1,0,36,0
2021-05-18,Japan,10,0,0,110,1
2021-05-18,Sweden,1,0,0,8,0
2021-05-19,Afghanistan,0,1,0,36,0
2021-05-19,Japan,10,0,0,110,1
2021-05-19,Sweden,1,0,0,8,0
2021-05-20,Afghanistan,0,1,0,36,0
2021-05-20,Japan,10,0,0,110,1
2021-05-20,Sweden,1,0,0,8,0
2021-05-21,Afghanistan,0,1,0,36,0
2021-05-21,Japan,10,0,0,110,1
2021-05-21,Sweden,1,0,0,8,0
2021-05-22,Afghanistan,0,1,0,36,0
2021-05-22,Japan,10,0,0,110,1
2021-05-22,Sweden,1,0,0,8,0
2021-05-23,Afghanistan,0,1,0,36,0
2021-05-23,Japan,10,0,0,110,1
2021-05-23,Sweden,1,0,0,8,0
2021-05-24,Afghanistan,0,1,0,36,0
2021-05-24,Japan,10,0,0,110,1
2021-05-24,Sweden,1,0,0,8,0
2021-05-25,Afghanistan,0,0,1,36,0
2021-05-25,Japan,10,0,0,110,1
2021-05-25,Sweden,1,0,0,8,0
2021-05-26,Afghanistan,0,0,1,36,0
2021-05-26,Japan,10,0,0,110,1
2021-05-26,Sweden,1,0,0,8,0
2021-05-27,Afghanistan,0,0,1,36,0
2021-05-27,Japan,10,0,0,110,1
2021-05-27,Sweden,1,0,0,8,0
2021-05-28,Afghanistan,0,0,1,36,0
2021-05-28,Japan,10,0,0,111,0
2021-05-28,Sweden,1,0,0,8,0
2021-05-29,Afghanistan,0,0,0,36,1
2021-05-29,Japan,10,0,0,111,0
2021-05-29,Sweden,1,0,0,8,0
2021-05-30,Afghanistan,0,0,0,36,1
2021-05-30,Japan,10,0,0,111,0
2021-05-30,Sweden,1,0,0,8,0
2021-05-31,Afghanistan,0,0,0,36,1
2021-05-31,Japan,10,0,0,111,0
2021-05-31,Sweden,1,0,0,8,0
2021-06-01,Afghanistan,0,0,0,36,1
2021-06-01,Japan,10,0,0,111,0
2021-06-01,Sweden,1,0,0,8,0
2021-06-02,Afghanistan,0,0,0,36,1
2021-06-02,Japan,10,0,0,111,0
2021-06-02,Sweden,1,0,0,8,0
2021-06-03,Afghanistan,0,0,0,36,1
2021-06-03,Japan,10,0,0,111,0
2021-06-03,Sweden,1,0,0,8,0
2021-06-04,Afghanistan,0,0,0,36,1
2021-06-04,Japan,10,0,0,111,0
2021-06-04,Sweden,1,0,0,8,0
2021-06-05,Afghanistan,0,0,0,36,1
2021-06-05,Japan,10,0,0,111,0
2021-06-05,Sweden,1,0,0,8,0
2021-06-06,Afghanistan,0,0,0,36,1
2021-06-06,Japan,10,0,0,111,0
2021-06-06,Sweden,1,0,0,8,0
2021-06-07,Afghanistan,0,0,0,36,1
2021-06-07,Japan,10,0,0,111,0
2021-06-07,Sweden,1,0,0,8,0
2021-06-08,Afghanistan,0,0,0,36,1
2021-06-08,Japan,10,0,0,111,0
2021-06-08,Sweden,1,0,0,8,0
2021-06-09,Afghanistan,0,0,0,36,1
2021-06-09,Japan,10,0,0,111,0
2021-06-09,Sweden,1,0,0,8,0
2021-06-10,Afghanistan,0,0,0,36,1
2021-06-10,Japan,10,0,0,111,0
2021-06-10,Sweden,1,0,0,8,0
2021-06-11,Afghanistan,0,0,0,36,1
2021-06-11,Japan,10,0,0,111,0
2021-06-11,Sweden,1,0,0,8,0
2021-06-12,Afghanistan,0,0,0,37,0
2021-06-12,Japan,10,0,0,111,0
2021-06-12,Sweden,1,0,0,8,0
2021-06-13,Afghanistan,0,0,0,37,0
2021-06-13,Japan,10,0,0,111,0
2021-06-13,Sweden,1,0,0,8,0
2021-06-14,Afghanistan,0,0,0,37,0
2021-06-14,Japan,10,0,0,111,0
2021-06-14,Sweden,1,0,0,8,0
2021-06-15,Afghanistan,0,0,0,37,0
2021-06-15,Japan,10,0,0,111,0
2021-06-15,Sweden,1,0,0,8,0
2021-06-16,Afghanistan,0,0,0,37,0
2021-06-16,Japan,10,0,0,111,0
2021-06-16,Sweden,1,0,0,8,0
2021-06-17,Afghanistan,0,0,0,37,0
2021-06-17,Japan,10,0,0,111,0
2021-06-17,Sweden,1,0,0,8,0
2021-06-18,Afghanistan,0,0,0,37,0
2021-06-18,Japan,10,0,0,111,0
2021-06-18,Sweden,1,0,0,8,0
2021-06-19,Afghanistan,0,0,0,37,0
2021-06-19,Japan,10,0,0,111,0
2021-06-19,Sweden,1,0,0,8,0
2021-06-20,Afghanistan,0,0,0,37,0
2021-06-20,Japan,10,0,0,111,0
2021-06-20,Sweden,1,0,0,8,0
2021-06-21,Afghanistan,0,0,0,37,0
2021-06-21,Japan,10,0,0,111,0
2021-06-21,Sweden,1,0,0,8,0
2021-06-22,Afghanistan,0,0,0,37,0
2021-06-22,Japan,10,0,0,111,0
2021-06-22,Sweden,1,0,0,8,0
2021-06-23,Afghanistan,0,0,0,37,0
2021-06-23,Japan,10,0,0,111,0
2021-06-23,Sweden,1,0,0,8,0
2021-06-24,Afghanistan,0,0,0,37,0
2021-06-24,Japan,10,0,0,111,0
2021-06-24,Sweden,1,0,0,8,0
2021-06-25,Afghanistan,0,0,0,37,0
2021-06-25,Japan,10,0,0,111,0
2021-06-25,Sweden,1,0,0,8,0
2021-06-26,Afghanistan,0,0,0,37,0
2021-06-26,Japan,10,0,0,111,0
2021-06-26,Sweden,1,0,0,8,0
2021-06-27,Afghanistan,0,0,0,37,0
2021-06-27,Japan,10,0,0,111,0
2021-06-27,Sweden,1,0,0,8,0
2021-06-28,Afghanistan,0,0,0,37,0
2021-06-28,Japan,10,0,0,111,0
2021-06-28,Sweden,1,0,0,8,0
2021-06-29,Afghanistan,0,0,0,37,0
2021-06-29,Japan,10,0,0,111,0
2021-06-29,Sweden,1,0,0,8,0
2021-06-30,Afghanistan,0,0,0,37,0
2021-06-30,Japan,10,0,0,111,0
2021-06-30,Sweden,1,0,0,8,0
2021-07-01,Afghanistan,0,0,0,37,0
2021-07-01,Japan,10,0,0,111,0
2021-07-01,Sweden,1,0,0,8,0
2021-07-02,Afghanistan,0,0,0,37,0
2021-07-02,Japan,10,0,0,111,0
2021-07-02,Sweden,1,0,0,8,0
2021-07-03,Afghanistan,0,0,0,37,0
2021-07-03,Japan,10,0,0,111,0
2021-07-03,Sweden,1,0,0,8,0
2021-07-04,Afghanistan,0,0,0,37,0
2021-07-04,Japan,10,0,0,111,0
2021-07-04,Sweden,1,0,0,8,0
2021-07-05,Afghanistan,0,0,0,37,0
2021-07-05,Japan,10,0,0,111,0
2021-07-05,Sweden,1,0,0,8,0
2021-07-06,Afghanistan,0,0,0,37,0
2021-07-06,Japan,10,0,0,111,0
2021-07-06,Sweden,1,0,0,8,0
2021-07-07,Afghanistan,0,0,0,37,0
2021-07-07,Japan,10,0,0,111,0
2021-07-07,Sweden,1,0,0,8,0
2021-07-08,Afghanistan,0,0,0,37,0
2021-07-08,Japan,10,0,0,111,0
2021-07-08,Sweden,1,0,0,8,0
2021-07-09,Afghanistan,0,0,0,37,0
2021-07-09,Japan,10,0,0,111,0
2021-07-09,Sweden,1,0,0,8,0
2021-07-10,Afghanistan,0,0,0,37,0
2021-07-10,Japan,10,0,0,111,0
2021-07-10,Sweden,1,0,0,8,0
2021-07-11,Afghanistan,0,0,0,37,0
2021-07-11,Japan,10,0,0,111,0
2021-07-11,Sweden,1,0,0,8,0
2021-07-12,Afghanistan,0,0,0,37,0
2021-07-12,Japan,10,0,0,111,0
2021-07-12,Sweden,1,0,0,8,0
2021-07-13,Afghanistan,0,0,0,37,0
2021-07-13,Japan,10,0,0,111,0
2021-07-13,Sweden,1,0,0,8,0
2021-07-14,Afghanistan,0,0,0,37,0
2021-07-14,Japan,10,0,0,111,0
2021-07-14,Sweden,1,0,0,8,0
2021-07-15,Afghanistan,0,0,0,37,0
2021-07-15,Japan,10,0,0,111,0
2021-07-15,Sweden,1,0,0,8,0
2021-07-16,Afghanistan,0,0,0,37,0
2021-07-16,Japan,10,0,0,111,0
2021-07-16,Sweden,1,0,0,8,0
2021-07-17,Afghanistan,0,0,0,37,0
2021-07-17,Japan,10,0,0,111,0
2021-07-17,Sweden,1,0,0,8,0
2021-07-18,Afghanistan,0,0,0,37,0
2021-07-18,Japan,10,0,0,111,0
2021-07-18,Sweden,1,0,0,8,0
2021-07-19,Afghanistan,0,0,0,37,0
2021-07-19,Japan,10,0,0,111,0
2021-07-19,Sweden,1,0,0,8,0
2021-07-20,Afghanistan,0,0,0,37,0
2021-07-20,Japan,10,0,0,111,0
2021-07-20,Sweden,1,0,0,8,0
2021-07-21,Afghanistan,0,0,0,37,0
2021-07-21,Japan,10,0,0,111,0
2021-07-21,Sweden,1,0,0,8,0
2021-07-22,Afghanistan,0,0,0,37,0
2021-07-22,Japan,10,0,0,111,0
2021-07-22,Sweden,1,0,0,8,0
2021-07-23,Afghanistan,0,0,0,37,0
2021-07-23,Japan,10,0,0,111,0
2021-07-23,Sweden,1,0,0,8,0
2021-07-24,Afghanistan,0,0,0,37,0
2021-07-24,Japan,10,0,0,111,0
2021-07-24,Sweden,1,0,0,8,0
2021-07-25,Afghanistan,0,0,0,37,0
2021-07-25,Japan,10,0,0,111,0
2021-07-25,Sweden,1,0,0,8,0
2021-07-26,Afghanistan,0,0,0,37,0
2021-07-26,Japan,10,0,0,111,0
2021-07-26,Sweden,1,0,0,8,0
2021-07-27,Afghanistan,0,0,0,37,0
2021-07-27,Japan,10,0,0,111,0
2021-07-27,Sweden,1,0,0,8,0
2021-07-28,Afghanistan,0,0,0,37,0
2021-07-28,Japan,10,0,0,111,0
2021-07-28,Sweden,1,0,0,8,0
2021-07-29,Afghanistan,0,0,0,37,0
2021-07-29,Japan,10,0,0,111,0
2021-07-29,Sweden,1,0,0,8,0
2021-07-30,Afghanistan,0,0,0,37,0
2021-07-30,Japan,10,0,0,111,0
2021-07-30,Sweden,1,0,0,8,0
2021-07-31,Afghanistan,0,0,0,37,0
2021-07-31,Japan,10,0,0,111,0
2021-07-31,Sweden,1,0,0,8,0
2021-08-01,Afghanistan,0,0,0,37,0
2021-08-01,Japan,10,0,0,111,0
2021-08-01,Sweden,1,0,0,8,0
2021-08-02,Afghanistan,0,0,0,37,0
2021-08-02,Japan,10,0,0,111,0
2021-08-02,Sweden,1,0,0,8,0
2021-08-03,Afghanistan,0,0,0,37,0
2021-08-03,Japan,10,0,0,111,0
2021-08-03,Sweden,1,0,0,8,0
2021-08-04,Afghanistan,0,6,0,31,0
2021-08-04,Japan,10,14,0,97,0
2021-08-04,Sweden,1,4,0,4,0
2021-08-05,Afghanistan,0,4,3,30,0
2021-08-05,Japan,10,25,5,81,0
2021-08-05,Sweden,1,3,1,4,0
2021-08-06,Afghanistan,0,4,4,29,0
2021-08-06,Japan,10,24,14,73,0
2021-08-06,Sweden,1,4,1,3,0
2021-08-07,Afghanistan,0,4,5,28,0
2021-08-07,Japan,10,20,23,68,0
2021-08-07,Sweden,1,4,2,2,0
2021-08-08,Afghanistan,0,8,5,24,0
2021-08-08,Japan,10,17,29,65,0
2021-08-08,Sweden,1,3,3,2,0
2021-08-09,Afghanistan,0,7,4,25,1
2021-08-09,Japan,10,18,27,63,3
2021-08-09,Sweden,1,3,2,3,0
2021-08-10,Afghanistan,0,6,6,24,1
2021-08-10,Japan,10,11,26,62,12
2021-08-10,Sweden,1,4,2,2,0
2021-08-11,Afghanistan,0,6,6,24,1
2021-08-11,Japan,10,8,22,67,14
2021-08-11,Sweden,1,4,1,3,0
2021-08-12,Afghanistan,0,7,6,23,1
2021-08-12,Japan,10,9,17,69,16
2021-08-12,Sweden,1,3,1,3,1
2021-08-13,Afghanistan,0,9,4,22,2
2021-08-13,Japan,10,8,15,70,18
2021-08-13,Sweden,1,1,3,3,1
2021-08-14,Afghanistan,0,6,4,23,4
2021-08-14,Japan,10,7,8,74,22
2021-08-14,Sweden,1,0,4,3,1
2021-08-15,Afghanistan,0,6,3,24,4
2021-08-15,Japan,10,5,5,75,26
2021-08-15,Sweden,1,0,4,3,1
2021-08-16,Afghanistan,0,6,3,24,4
2021-08-16,Japan,10,4,6,75,26
2021-08-16,Sweden,1,0,3,3,2
2021-08-17,Afghanistan,0,6,3,24,4
2021-08-17,Japan,10,3,7,75,26
2021-08-17,Sweden,1,0,1,4,3
2021-08-18,Afghanistan,0,12,1,19,5
2021-08-18,Japan,10,18,6,60,27
2021-08-18,Sweden,1,0,0,4,4
2021-08-19,Afghanistan,0,12,4,16,5
2021-08-19,Japan,10,25,7,51,28
2021-08-19,Sweden,1,0,0,4,4
2021-08-20,Afghanistan,0,10,6,16,5
2021-08-20,Japan,10,19,14,48,30
2021-08-20,Sweden,1,0,0,4,4
2021-08-21,Afghanistan,0,11,7,14,5
2021-08-21,Japan,10,22,17,41,31
2021-08-21,Sweden,1,0,0,4,4
2021-08-22,Afghanistan,0,10,8,14,5
2021-08-22,Japan,10,14,26,40,31
2021-08-22,Sweden,1,0,0,4,4
2021-08-23,Afghanistan,0,8,8,15,6
2021-08-23,Japan,12,11,28,40,30
2021-08-23,Sweden,1,0,0,4,4
2021-08-24,Afghanistan,0,7,7,16,7
2021-08-24,Japan,17,14,19,45,26
2021-08-24,Sweden,1,1,0,3,4
2021-08-25,Afghanistan,0,7,6,17,7
2021-08-25,Japan,17,10,20,46,28
2021-08-25,Sweden,1,1,0,3,4
2021-08-26,Afghanistan,0,6,5,17,9
2021-08-26,Japan,18,11,12,50,30
2021-08-26,Sweden,1,1,0,4,3
2021-08-27,Afghanistan,0,7,2,18,10
2021-08-27,Japan,18,12,9,51,31
2021-08-27,Sweden,1,1,0,4,3
2021-08-28,Afghanistan,1,5,3,19,9
2021-08-28,Japan,18,10,12,54,27
2021-08-28,Sweden,1,1,0,4,3
2021-08-29,Afghanistan,1,5,4,18,9
2021-08-29,Japan,20,8,9,59,25
2021-08-29,Sweden,1,1,0,4,3
2021-08-30,Afghanistan,1,5,3,19,9
2021-08-30,Japan,20,6,10,60,25
2021-08-30,Sweden,1,1,0,5,2
2021-08-31,Afghanistan,1,5,3,19,9
2021-08-31,Japan,20,6,8,61,26
2021-08-31,Sweden,1,1,0,6,1
2021-09-01,Afghanistan,1,5,1,21,9
2021-09-01,Japan,21,6,6,62,26
2021-09-01,Sweden,1,1,0,7,0
2021-09-02,Afghanistan,1,3,2,21,10
2021-09-02,Japan,21,6,3,65,26
2021-09-02,Sweden,1,1,0,7,0
2021-09-03,Afghanistan,1,3,2,21,10
2021-09-03,Japan,21,6,1,68,25
2021-09-03,Sweden,1,1,0,7,0
2021-09-04,Afghanistan,1,3,2,21,10
2021-09-04,Japan,21,7,1,68,24
2021-09-04,Sweden,1,1,0,7,0
2021-09-05,Afghanistan,1,1,4,21,10
2021-09-05,Japan,21,5,2,69,24
2021-09-05,Sweden,1,1,0,7,0
2021-09-06,Afghanistan,1,1,2,24,9
2021-09-06,Japan,22,4,3,70,22
2021-09-06,Sweden,1,1,0,7,0
2021-09-07,Afghanistan,1,1,2,25,8
2021-09-07,Japan,23,3,4,74,17
2021-09-07,Sweden,1,1,0,7,0
2021-09-08,Afghanistan,1,1,2,25,8
2021-09-08,Japan,24,3,4,77,13
2021-09-08,Sweden,1,1,0,7,0
2021-09-09,Afghanistan,1,1,0,29,6
2021-09-09,Japan,24,3,2,82,10
2021-09-09,Sweden,1,1,0,7,0
2021-09-10,Afghanistan,1,1,0,31,4
2021-09-10,Japan,25,2,2,84,8
2021-09-10,Sweden,1,1,0,7,0
2021-09-11,Afghanistan,1,1,0,32,3
2021-09-11,Japan,25,2,1,84,9
2021-09-11,Sweden,1,1,0,7,0
2021-09-12,Afghanistan,1,1,0,32,3
2021-09-12,Japan,25,2,1,86,7
2021-09-12,Sweden,1,1,0,7,0
2021-09-13,Afghanistan,1,1,0,32,3
2021-09-13,Japan,25,2,1,86,7
2021-09-13,Sweden,1,1,0,7,0
2021-09-14,Afghanistan,1,1,0,32,3
2021-09-14,Japan,25,2,0,87,7
2021-09-14,Sweden,1,1,0,7,0
2021-09-15,Afghanistan,1,1,0,33,2
2021-09-15,Japan,25,2,0,88,6
2021-09-15,Sweden,1,1,0,7,0
2021-09-16,Afghanistan,1,1,0,34,1
2021-09-16,Japan,26,2,0,88,5
2021-09-16,Sweden,1,0,1,7,0
2021-09-17,Afghanistan,1,1,0,34,1
2021-09-17,Japan,26,2,0,89,4
2021-09-17,Sweden,1,0,1,7,0
2021-09-18,Afghanistan,1,1,0,34,1
2021-09-18,Japan,26,2,0,89,4
2021-09-18,Sweden,1,0,1,7,0
2021-09-19,Afghanistan,1,1,0,34,1
2021-09-19,Japan,26,2,0,89,4
2021-09-19,Sweden,1,0,1,7,0
2021-09-20,Afghanistan,1,1,0,35,0
2021-09-20,Japan,26,1,1,89,4
2021-09-20,Sweden,1,0,0,8,0
2021-09-21,Afghanistan,1,1,0,35,0
2021-09-21,Japan,26,1,1,89,4
2021-09-21,Sweden,1,0,0,8,0
2021-09-22,Afghanistan,1,1,0,35,0
2021-09-22,Japan,26,1,1,89,4
2021-09-22,Sweden,1,0,0,8,0
2021-09-23,Afghanistan,1,1,0,35,0
2021-09-23,Japan,26,1,1,90,3
2021-09-23,Sweden,1,0,0,8,0
2021-09-24,Afghanistan,1,1,0,35,0
2021-09-24,Japan,26,1,0,92,2
2021-09-24,Sweden,1,0,0,8,0
2021-09-25,Afghanistan,1,1,0,35,0
2021-09-25,Japan,26,2,0,92,1
2021-09-25,Sweden,1,0,0,8,0
2021-09-26,Afghanistan,1,1,0,35,0
2021-09-26,Japan,26,2,0,92,1
2021-09-26,Sweden,1,0,0,8,0
2021-09-27,Afghanistan,1,0,1,35,0
2021-09-27,Japan,26,1,1,92,1
2021-09-27,Sweden,1,0,0,8,0
2021-09-28,Afghanistan,1,0,1,35,0
2021-09-28,Japan,26,0,2,93,0
2021-09-28,Sweden,1,0,0,8,0
2021-09-29,Afghanistan,1,0,1,35,0
2021-09-29,Japan,26,0,2,93,0
2021-09-29,Sweden,1,0,0,8,0
2021-09-30,Afghanistan,1,0,1,35,0
2021-09-30,Japan,26,0,2,93,0
2021-09-30,Sweden,1,0,0,8,0
2021-10-01,Afghanistan,1,0,0,36,0
2021-10-01,Japan,26,0,1,94,0
2021-10-01,Sweden,1,0,0,8,0
2021-10-02,Afghanistan,1,0,0,36,0
2021-10-02,Japan,26,0,0,94,1
2021-10-02,Sweden,1,0,0,8,0
2021-10-03,Afghanistan,1,0,0,36,0
2021-10-03,Japan,26,0,0,94,1
2021-10-03,Sweden,1,0,0,8,0
2021-10-04,Afghanistan,1,0,0,36,0
2021-10-04,Japan,26,0,0,94,1
2021-10-04,Sweden,1,0,0,8,0
2021-10-05,Afghanistan,1,0,0,36,0
2021-10-05,Japan,26,0,0,94,1
2021-10-05,Sweden,1,0,0,8,0
2021-10-06,Afghanistan,1,0,0,36,0
2021-10-06,Japan,26,0,0,94,1
2021-10-06,Sweden,1,0,0,8,0
2021-10-07,Afghanistan,1,0,0,36,0
2021-10-07,Japan,26,0,0,94,1
2021-10-07,Sweden,1,0,0,8,0
2021-10-08,Afghanistan,1,0,0,36,0
2021-10-08,Japan,26,0,0,94,1
2021-10-08,Sweden,1,0,0,8,0
2021-10-09,Afghanistan,1,0,0,36,0
2021-10-09,Japan,26,0,0,94,1
2021-10-09,Sweden,1,0,0,8,0
2021-10-10,Afghanistan,1,1,0,35,0
2021-10-10,Japan,26,0,0,94,1
2021-10-10,Sweden,1,0,0,8,0
2021-10-11,Afghanistan,1,1,0,35,0
2021-10-11,Japan,26,0,0,94,1
2021-10-11,Sweden,1,0,0,8,0
2021-10-12,Afghanistan,1,1,0,35,0
2021-10-12,Japan,26,0,0,94,1
2021-10-12,Sweden,1,0,0,8,0
2021-10-13,Afghanistan,1,1,0,35,0
2021-10-13,Japan,26,0,0,94,1
2021-10-13,Sweden,1,0,0,8,0
2021-10-14,Afghanistan,1,1,0,35,0
2021-10-14,Japan,26,0,0,94,1
2021-10-14,Sweden,1,0,0,8,0
2021-10-15,Afghanistan,1,1,0,35,0
2021-10-15,Japan,26,0,0,94,1
2021-10-15,Sweden,1,0,0,8,0
2021-10-16,Afghanistan,1,1,0,35,0
2021-10-16,Japan,26,0,0,95,0
2021-10-16,Sweden,1,0,0,8,0
2021-10-17,Afghanistan,1,1,0,35,0
2021-10-17,Japan,26,0,0,95,0
2021-10-17,Sweden,1,0,0,8,0
2021-10-18,Afghanistan,1,1,0,35,0
2021-10-18,Japan,26,0,0,95,0
2021-10-18,Sweden,1,0,0,8,0
2021-10-19,Afghanistan,1,1,0,35,0
2021-10-19,Japan,26,0,0,95,0
2021-10-19,Sweden,1,0,0,8,0
2021-10-20,Afghanistan,1,1,0,35,0
2021-10-20,Japan,26,0,0,95,0
2021-10-20,Sweden,1,0,0,8,0
2021-10-21,Afghanistan,1,1,0,35,0
2021-10-21,Japan,26,0,0,95,0
2021-10-21,Sweden,1,0,0,8,0
2021-10-22,Afghanistan,1,1,0,35,0
2021-10-22,Japan,26,0,0,95,0
2021-10-22,Sweden,1,0,0,8,0
2021-10-23,Afghanistan,1,1,0,35,0
2021-10-23,Japan,26,0,0,95,0
2021-10-23,Sweden,1,0,0,8,0
2021-10-24,Afghanistan,1,1,0,35,0
2021-10-24,Japan,26,0,0,95,0
2021-10-24,Sweden,1,0,0,8,0
2021-10-25,Afghanistan,1,1,0,35,0
2021-10-25,Japan,26,0,0,95,0
2021-10-25,Sweden,1,0,0,8,0
2021-10-26,Afghanistan,1,0,1,35,0
